City_ID,City_ID,city,country,latitude,longitude,Maximum_temperature,percent_humidity,percent_cloudiness,wind_speed,description
2,2,Cayenne,GF,4.9333,-52.3333,24.49,90,0,0.0,clear sky
4,4,Isabela,PH,6.7085,121.9711,31.03,59,84,1.92,broken clouds
8,8,Urucurituba,BR,-2.6833,-57.6667,26.61,56,69,0.36,broken clouds
12,12,Arlit,NE,18.7369,7.3853,30.08,46,86,4.13,overcast clouds
16,16,Venice,US,27.0998,-82.4543,29.01,87,40,2.06,scattered clouds
17,17,Port-Gentil,GA,-0.7193,8.7815,24.44,77,82,6.18,broken clouds
19,19,Mitha Tiwana,PK,32.2486,72.1108,31.16,64,39,4.62,scattered clouds
25,25,St. Marys,US,30.7305,-81.5465,26.01,74,1,0.89,clear sky
32,32,Kavaratti,IN,10.5669,72.642,27.92,77,100,7.39,overcast clouds
34,34,Shāhābād,IN,27.65,79.95,30.98,68,100,1.22,overcast clouds
36,36,Türkan,AZ,40.3639,50.215,26.1,65,40,9.26,scattered clouds
46,46,Westport,US,41.1415,-73.3579,23.08,89,75,2.24,broken clouds
49,49,Kiryat Gat,IL,31.61,34.7642,25.51,83,6,1.64,clear sky
55,55,Hamilton,US,39.1834,-84.5333,26.34,85,1,0.0,clear sky
57,57,Buctzotz,MX,21.2,-88.7833,23.8,90,49,1.91,scattered clouds
68,68,Troy,US,42.6056,-83.1499,24.26,85,64,0.45,broken clouds
69,69,Trairi,BR,-3.2778,-39.2689,25.34,88,48,4.19,scattered clouds
70,70,Salinópolis,BR,-0.6136,-47.3561,25.48,84,13,3.81,few clouds
73,73,San Miguel de Cozumel,MX,20.5083,-86.9458,27.99,85,30,1.79,scattered clouds
77,77,Algiers,DZ,36.7525,3.042,24.9,89,40,2.57,scattered clouds
78,78,Hobyo,SO,5.3505,48.5268,25.07,77,80,9.14,broken clouds
84,84,Bengkulu,ID,-3.8004,102.2655,29.22,66,58,3.39,broken clouds
85,85,Camocim,BR,-2.9022,-40.8411,24.09,91,23,3.01,few clouds
87,87,Hithadhoo,MV,-0.6,73.0833,26.99,74,100,2.32,heavy intensity rain
89,89,Kidal,ML,18.4411,1.4078,30.2,49,28,3.63,scattered clouds
92,92,Mahibadhoo,MV,3.7833,72.9667,28.02,74,98,4.29,overcast clouds
93,93,Touros,BR,-5.1989,-35.4608,23.5,87,14,4.84,few clouds
97,97,Itarema,BR,-2.9248,-39.9167,25.2,89,30,5.11,scattered clouds
101,101,Vasylivka,UA,47.4369,35.2742,23.49,66,17,4.24,few clouds
107,107,Qandala,SO,11.472,49.8728,30.2,51,65,4.94,broken clouds
110,110,Kaura Namoda,NG,12.5898,6.5779,23.93,84,99,3.27,overcast clouds
111,111,George Town,MY,5.4112,100.3354,29.99,76,40,0.89,moderate rain
113,113,Kashgar,CN,39.4547,75.9797,30.56,32,0,2.0,clear sky
119,119,Conceição do Araguaia,BR,-8.2578,-49.2647,25.07,61,0,2.06,clear sky
122,122,Maunabo,PR,18.0072,-65.8993,26.14,89,91,5.7,overcast clouds
124,124,Cockburn Town,TC,21.4612,-71.1419,27.62,78,100,9.62,overcast clouds
129,129,Meulaboh,ID,4.1363,96.1285,29.12,65,100,0.9,overcast clouds
130,130,Atlantic Beach,US,30.3344,-81.3987,25.56,96,1,1.54,clear sky
133,133,Emba,KZ,48.8264,58.1442,25.11,36,47,4.4,scattered clouds
135,135,Bagotville,AU,-28.9833,153.4167,24.01,37,6,3.23,clear sky
141,141,Zaozyornoye,UA,45.1582,33.2787,25.07,73,0,3.13,clear sky
143,143,Province of Trapani,IT,37.8333,12.6667,28.27,49,0,4.12,clear sky
146,146,San Andrés,CO,12.5847,-81.7006,28.01,78,40,6.69,scattered clouds
149,149,Bubaque,GW,11.2833,-15.8333,25.79,85,100,7.41,moderate rain
151,151,Corinth,GR,37.9407,22.9573,29.24,45,0,0.95,clear sky
155,155,Harper,LR,4.375,-7.7169,24.57,81,81,3.19,light rain
156,156,Ormara,PK,25.2088,64.6357,28.13,86,92,4.8,overcast clouds
157,157,São Filipe,CV,14.8961,-24.4956,23.57,75,86,2.56,overcast clouds
162,162,Anzio,IT,41.4853,12.6179,25.2,64,0,5.03,clear sky
165,165,Acaraú,BR,-2.8856,-40.12,24.99,90,25,5.07,scattered clouds
169,169,Bilma,NE,18.6853,12.9164,31.99,38,72,3.59,broken clouds
174,174,Provincia di Pescara,IT,42.3333,13.95,23.94,34,0,2.81,clear sky
178,178,Kuzhithurai,IN,8.3167,77.1833,26.82,70,100,5.69,overcast clouds
188,188,Semnan,IR,35.5729,53.3971,26.1,51,38,3.26,scattered clouds
