City_ID,city,country,latitude,longitude,Maximum_temperature,percent_humidity,percent_cloudiness,wind_speed,description
0,Agüimes,ES,27.9054,-15.4461,20.35,78,75,9.77,broken clouds
1,Ancud,CL,-41.8697,-73.8203,6.74,92,8,1.92,clear sky
2,Cayenne,GF,4.9333,-52.3333,24.49,90,0,0.0,clear sky
3,Damāvand,IR,35.7178,52.065,19.91,62,45,2.41,scattered clouds
4,Isabela,PH,6.7085,121.9711,31.03,59,84,1.92,broken clouds
5,Maragogi,BR,-9.0122,-35.2225,22.17,87,4,1.02,clear sky
6,Bariloche,AR,-41.1456,-71.3082,3.02,55,5,1.01,clear sky
7,Busselton,AU,-33.65,115.3333,17.8,73,29,12.99,scattered clouds
8,Urucurituba,BR,-2.6833,-57.6667,26.61,56,69,0.36,broken clouds
9,Dingle,PH,10.9995,122.6711,32.29,58,42,7.32,scattered clouds
10,Afşin,TR,38.2477,36.914,14.91,67,0,1.17,clear sky
11,Ushuaia,AR,-54.8,-68.3,7.81,71,40,1.54,scattered clouds
12,Arlit,NE,18.7369,7.3853,30.08,46,86,4.13,overcast clouds
13,Gafanha da Encarnação,PT,40.6181,-8.733,19.04,64,0,3.13,clear sky
14,Upernavik,GL,72.7868,-56.1549,8.34,82,100,5.72,overcast clouds
15,Piaçabuçu,BR,-10.4056,-36.4344,22.23,86,0,2.01,clear sky
16,Venice,US,27.0998,-82.4543,29.01,87,40,2.06,scattered clouds
17,Port-Gentil,GA,-0.7193,8.7815,24.44,77,82,6.18,broken clouds
18,Vestmannaeyjar,IS,63.4427,-20.2734,11.95,85,20,2.81,few clouds
19,Mitha Tiwana,PK,32.2486,72.1108,31.16,64,39,4.62,scattered clouds
20,Hermanus,ZA,-34.4187,19.2345,16.0,72,98,10.28,overcast clouds
21,Vardø,NO,70.3705,31.1107,8.11,90,100,3.33,overcast clouds
22,Punta Arenas,CL,-53.15,-70.9167,8.06,71,0,2.57,clear sky
23,Codrington,AU,-38.2667,141.9667,11.91,78,43,5.34,scattered clouds
24,Mar del Plata,AR,-38.0023,-57.5575,5.63,68,0,2.24,clear sky
25,St. Marys,US,30.7305,-81.5465,26.01,74,1,0.89,clear sky
26,Hong Kong,HK,22.2855,114.1577,33.03,70,99,3.13,light rain
